date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:38	748/748	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202025%2014:03:38%20GMT	https://shopee.seg-ca1xa.pro/robots.txt		(from )
11:03:38	12128/12128	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:46:33%20GMT	https://shopee.seg-ca1xa.pro/5mil/	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/index.html	(from )
11:03:39	1371/1371	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202025%2014:03:38%20GMT	https://shopee.seg-ca1xa.pro/5mil/window.location.href	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/window.location.href	(from https://shopee.seg-ca1xa.pro/5mil/)
11:03:41	32796/32796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22801c-1951ae1d678%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/Doublerr/Desktop/Shopee/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://shopee.seg-ca1xa.pro/5mil/)
11:03:41	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from https://shopee.seg-ca1xa.pro/5mil/)
11:03:42	59706/59706	---M--	200	added ('OK')	image/webp	etag:%22e93a-62dbeaafce300%22	https://shopee.seg-ca1xa.pro/5mil/images/logo-white.webp	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/images/logo-white.webp	(from https://shopee.seg-ca1xa.pro/5mil/)
11:03:42	22373/22373	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:48:04%20GMT	https://shopee.seg-ca1xa.pro/5mil/quiz.html	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/quiz.html	(from https://shopee.seg-ca1xa.pro/5mil/)
11:03:43	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226271c-POiqk/26zwHcfv1DP/14PLgVAIE%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.eot?t=1590207869815	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.eot	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:03:43	125268/125268	---M--	200	added ('OK')	font/woff2	etag:W/%221e954-TTdav0PtGKpUJkwbWXFLClnFk6Q%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff2?t=1590207869815	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff2	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:03:43	172876/172876	---M--	200	added ('OK')	font/woff	etag:W/%222a34c-nvsPvvw4gOfwtm5Y9S+FGQ/d0nk%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff?t=1590207869815	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:03:45	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22123e02-RFSTKqSIOQG9AFD0KBuq2CFvsSg%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.svg?t=1590207869815	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.svg	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:03:45	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%2262670-hAqCFW89079bDo0oUuIyvRqS7t0%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.ttf?t=1590207869815	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.ttf	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
11:03:45	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Users/Doublerr/Desktop/Shopee/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:47	246081/246081	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2022%20Feb%202025%2014:03:46%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Doublerr/Desktop/Shopee/connect.facebook.net/en_US/fbevents.js	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:48	4923/4923	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2022%20Feb%202025%2014:03:47%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/Doublerr/Desktop/Shopee/analytics.tiktok.com/i18n/pixel/events.js	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:49	10131/10131	---M-Z	200	added ('OK')	application/javascript	etag:%22C5DC8475F5AE240BD1474B4467D9E7D8%22	https://s1.kwai.net/kos/s101/nlav11187/pixel/events.js	C:/Users/Doublerr/Desktop/Shopee/s1.kwai.net/kos/s101/nlav11187/pixel/events.js	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:50	10131/10131	---M-Z	200	added ('OK')	application/javascript	etag:%22C5DC8475F5AE240BD1474B4467D9E7D8%22	https://s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	C:/Users/Doublerr/Desktop/Shopee/s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:52	153494/153494	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Mar%202021%2023:29:29%20GMT	https://logodownload.org/wp-content/uploads/2021/03/shopee-logo.png	C:/Users/Doublerr/Desktop/Shopee/logodownload.org/wp-content/uploads/2021/03/shopee-logo.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:53	1106/1106	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202025%2003:01:21	https://img.icons8.com/ios-filled/50/000000/money-bag.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/ios-filled/50/000000/money-bag.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:53	1008/1008	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202025%2010:41:09	https://img.icons8.com/ios-filled/50/000000/rocket.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/ios-filled/50/000000/rocket.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:54	625/625	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2006:11:28	https://img.icons8.com/ios-filled/50/000000/no-entry.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/ios-filled/50/000000/no-entry.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:54	296/296	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2023:09:09	https://img.icons8.com/ios-filled/50/000000/calendar.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/ios-filled/50/000000/calendar.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:54	825/825	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2004:02:47	https://img.icons8.com/color/48/000000/ok--v1.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/color/48/000000/ok--v1.png	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:55	14888/14888	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:55:12%20GMT	https://shopee.seg-ca1xa.pro/5mil/termos.html	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/termos.html	(from https://shopee.seg-ca1xa.pro/5mil/quiz.html)
11:03:55	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
